
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/b71d5fb8-840d-4641-ba7f-c2d5574cdec4?bufferSize=1000&amp;useArrayFormat=true
16:26:06.476 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x2210A2]
16:26:06.498 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x6210A2FE00]
16:26:06.572 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x2210A3]
16:26:06.588 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x6210A38000]
16:26:09.358 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0792,0x07,0x00,0x00] data[0x023E000000000000]
16:26:09.445 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1001]
16:26:09.468 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5001003201F4]
16:26:09.522 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1003]
16:26:09.538 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5003003201F4]
16:26:09.612 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x190209]
16:26:09.632 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5902B940CA1528C1638728]
16:26:09.742 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1903]
16:26:09.839 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5903C163870140CA1501C1638710C1638711C1638712C1638713C1638714C1638715C1638716]
16:26:09.934 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1904C16387FF]
16:26:09.989 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x079A,0x00,0x00,0x00] data[0x037F197800000000]
16:26:10.028 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x9E00] args[0xE203,0x00,0x079A,0x00] data[0x1000000016A65904]
16:26:18.028 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x9E00] args[0xE209,0x0792,0x00,0x01] data[0x]
16:26:18.029 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x079A,0x00,0x00,0x00] data[0x]
16:26:18.078 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x079A,0x00,0x00,0x00] data[0x037F197800000000]
16:26:18.119 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x9E00] args[0xE203,0x00,0x079A,0x00] data[0x1000000016A65904]
16:26:26.119 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x9E00] args[0xE209,0x0792,0x00,0x00] data[0x]
16:26:26.120 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x079A,0x00,0x00,0x00] data[0x]
16:26:26.266 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x079A,0x00,0x00,0x00] data[0x037F197800000000]
16:26:26.299 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x9E00] args[0xE203,0x00,0x079A,0x00] data[0x1000000016A65904]
16:26:28.712 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0792,0x07,0x00,0x00] data[0x023E000000000000]
16:26:28.798 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1904C16387FF]
16:26:34.299 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x9E00] args[0xE209,0x0792,0x00,0x01] data[0x]
16:26:34.299 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x079A,0x00,0x00,0x00] data[0x]
16:26:34.350 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x079A,0x00,0x00,0x00] data[0x037F197800000000]
16:26:34.390 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x9E00] args[0xE203,0x00,0x079A,0x00] data[0x1000000016A65904]
16:26:42.390 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x9E00] args[0xE209,0x0792,0x00,0x00] data[0x]
16:26:42.390 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x079A,0x00,0x00,0x00] data[0x]
16:26:42.439 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x079A,0x00,0x00,0x00] data[0x037F197800000000]
16:26:42.484 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x9E00] args[0xE203,0x00,0x079A,0x00] data[0x1000000016A65904]
16:26:50.479 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0792,0xE28B,0x00,0x00] data[0x061904C16387FF00]
16:26:53.128 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0792,0x07,0x00,0x00] data[0x023E000000000000]
16:26:53.228 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1904C1638701]
16:26:54.114 | [Server]-&gt;[Tracer] METADATA =&gt; key[connection:transceived:bytes] value[38316]
16:26:55.322 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00010003] format[0x08] data[0x5904C163 ... 00325D0C]
16:26:55.325 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00020003] format[0x08] data[0x00010001 ... 0843A3D1]
16:26:55.326 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00030003] format[0x08] data[0xEC000000 ... 1702F800]
16:26:56.030 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1904C1638710]
16:26:58.122 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00010003] format[0x08] data[0x5904C163 ... 00325D0C]
16:26:58.124 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00020003] format[0x08] data[0x00010001 ... 0843A3D1]
16:26:58.126 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00030003] format[0x08] data[0xEC000000 ... 1702F800]
16:26:58.729 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1904C1638711]
16:27:00.822 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00010003] format[0x08] data[0x5904C163 ... 00325D0C]
16:27:00.824 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00020003] format[0x08] data[0x00010001 ... 0843A3D1]
16:27:00.826 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00030003] format[0x08] data[0xEC000000 ... 1702F800]
16:27:01.432 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1904C1638712]
16:27:03.522 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00010003] format[0x08] data[0x5904C163 ... 00325D0C]
16:27:03.524 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00020003] format[0x08] data[0x00010001 ... 0843A3D1]
16:27:03.526 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00030003] format[0x08] data[0xEC000000 ... 1702F800]
16:27:04.158 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1904C1638713]
16:27:06.252 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00010003] format[0x08] data[0x5904C163 ... 00325D0C]
16:27:06.254 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00020003] format[0x08] data[0x00010001 ... 0843A3D1]
16:27:06.256 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00030003] format[0x08] data[0xEC000000 ... 1702F800]
16:27:06.894 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1904C1638714]
16:27:08.982 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00010003] format[0x08] data[0x5904C163 ... 00325D0C]
16:27:08.984 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00020003] format[0x08] data[0x00010001 ... 0843A3D1]
16:27:08.986 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00030003] format[0x08] data[0xEC000000 ... 1702F800]
16:27:09.647 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1904C1638715]
16:27:11.742 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00010003] format[0x08] data[0x5904C163 ... 00325D0C]
16:27:11.744 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00020003] format[0x08] data[0x00010001 ... 0843A3D1]
16:27:11.746 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00030003] format[0x08] data[0xEC000000 ... 1702F800]
16:27:12.370 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1904C1638716]
16:27:14.464 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00010003] format[0x08] data[0x5904C163 ... 00325D0C]
16:27:14.465 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00020003] format[0x08] data[0x00010001 ... 0843A3D1]
16:27:14.467 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00030003] format[0x08] data[0xEC000000 ... 1702F800]
16:27:15.108 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x190440CA1501]
16:27:17.203 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00010003] format[0x08] data[0x590440CA ... 00325D0C]
16:27:17.205 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00020003] format[0x08] data[0x00010001 ... 084236DA]
16:27:17.207 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x02DA,0x00030003] format[0x08] data[0x85BF47A6 ... 1702F800]
16:27:23.372 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:info:voltage] value[14.5]
16:27:28.379 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0700,0x07,0x00,0x00] data[0x023E000000000000]
16:27:28.432 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0724,0x07,0x00,0x00] data[0x023E000000000000]
16:27:28.481 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07D2,0x07,0x00,0x00] data[0x023E000000000000]
16:27:28.522 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0747,0x07,0x00,0x00] data[0x023E000000000000]
16:27:28.570 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07A1,0x07,0x00,0x00] data[0x023E000000000000]
16:27:28.593 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07C0,0x07,0x00,0x00] data[0x023E000000000000]
16:27:28.615 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07B0,0x07,0x00,0x00] data[0x023E000000000000]
16:27:28.649 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0780,0x07,0x00,0x00] data[0x023E000000000000]
16:27:28.658 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07B3,0x07,0x00,0x00] data[0x023E000000000000]
16:27:28.690 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07C4,0x07,0x00,0x00] data[0x023E000000000000]
16:27:28.711 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07D0,0x07,0x00,0x00] data[0x023E000000000000]
16:27:28.769 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0792,0x07,0x00,0x00] data[0x023E000000000000]
16:27:29.131 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0700,0x00,0x00,0x00] data[0x1003]
16:27:29.151 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0708,0x00,0x00,0x00] data[0x5003003201F4]
16:27:29.167 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0724,0x00,0x00,0x00] data[0x1003]
16:27:29.183 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x072C,0x00,0x00,0x00] data[0x5003003201F4]
16:27:29.188 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D2,0x00,0x00,0x00] data[0x1003]
16:27:29.207 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07DA,0x00,0x00,0x00] data[0x5003003201F4]
16:27:29.209 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0747,0x00,0x00,0x00] data[0x1003]
16:27:29.227 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x5003003201F4]
16:27:29.245 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07A1,0x00,0x00,0x00] data[0x1003]
16:27:29.268 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C0,0x00,0x00,0x00] data[0x1003]
16:27:29.334 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B0,0x00,0x00,0x00] data[0x1003]
16:27:29.337 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0780,0x00,0x00,0x00] data[0x1003]
16:27:29.395 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B3,0x00,0x00,0x00] data[0x1003]
16:27:29.404 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B8,0x00,0x00,0x00] data[0x5003003201F4]
16:27:29.406 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C8,0x00,0x00,0x00] data[0x5003003201F4]
16:27:29.410 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07A9,0x00,0x00,0x00] data[0x5003003201F4]
16:27:29.415 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07BB,0x00,0x00,0x00] data[0x5003003201F4]
16:27:29.433 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C4,0x00,0x00,0x00] data[0x1003]
16:27:29.468 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07CC,0x00,0x00,0x00] data[0x5003002801F2]
16:27:29.472 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D0,0x00,0x00,0x00] data[0x1003]
16:27:29.496 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D8,0x00,0x00,0x00] data[0x5003003201F4]
16:27:29.515 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1003]
16:27:29.531 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5003003201F4]
16:27:30.165 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0700,0x00,0x00,0x00] data[0x19020D]
16:27:30.204 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0708,0x00,0x00,0x00] data[0x5902FF]
16:27:30.207 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0724,0x00,0x00,0x00] data[0x19020D]
16:27:30.223 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x072C,0x00,0x00,0x00] data[0x5902FF]
16:27:30.227 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D2,0x00,0x00,0x00] data[0x19020D]
16:27:30.261 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0747,0x00,0x00,0x00] data[0x19020D]
16:27:30.271 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07DA,0x00,0x00,0x00] data[0x5902FF]
16:27:30.286 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07A1,0x00,0x00,0x00] data[0x190209]
16:27:30.293 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x5902FF]
16:27:30.317 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07A9,0x00,0x00,0x00] data[0x5902B954FE1428]
16:27:30.326 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C0,0x00,0x00,0x00] data[0x190209]
16:27:30.373 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B0,0x00,0x00,0x00] data[0x190209]
16:27:30.393 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B3,0x00,0x00,0x00] data[0x190209]
16:27:30.395 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C8,0x00,0x00,0x00] data[0x590239C1278728C163872893218728]
16:27:30.409 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07BB,0x00,0x00,0x00] data[0x590239]
16:27:30.417 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C4,0x00,0x00,0x00] data[0x190209]
16:27:30.425 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x07B8,0x00,0x00,0x00] data[0x037F197800000000]
16:27:30.450 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D0,0x00,0x00,0x00] data[0x190209]
16:27:30.457 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07CC,0x00,0x00,0x00] data[0x590239]
16:27:30.505 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D8,0x00,0x00,0x00] data[0x59023956228728957D132895A696289547132895791328]
16:27:30.516 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x190209]
16:27:30.544 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5902B940CA1528C1638728]
16:27:30.784 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B8,0x00,0x00,0x00] data[0x5902B954FE1428]
16:27:30.897 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x9E00] args[0xE209,0x0780,0x00,0x01] data[0x]
16:27:30.898 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x0788,0x00,0x00,0x00] data[0x]
16:27:30.911 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0788,0x00,0x00,0x00] data[0x5003003201F4]
16:27:31.450 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0700,0x00,0x00,0x00] data[0x190209]
16:27:31.476 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0724,0x00,0x00,0x00] data[0x190209]
16:27:31.489 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0708,0x00,0x00,0x00] data[0x5902FF]
16:27:31.494 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x072C,0x00,0x00,0x00] data[0x5902FF]
16:27:31.497 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D2,0x00,0x00,0x00] data[0x190209]
16:27:31.541 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07DA,0x00,0x00,0x00] data[0x5902FF]
16:27:31.548 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0747,0x00,0x00,0x00] data[0x190209]
16:27:31.578 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x5902FF]
16:27:31.585 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0780,0x00,0x00,0x00] data[0x190209]
16:27:31.636 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x0788,0x00,0x00,0x00] data[0x037F197800000000]
16:27:31.859 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0788,0x00,0x00,0x00] data[0x5902FB]
16:27:32.634 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x2A,0x00] format[0x0200] data[0x2A023E0000000000]
